week	lineage	count	total
1	A	106	124
1	B.1	6	124
1	B.2	0	124
1	C	12	124
2	A	111	131
2	B.1	10	131
2	B.2	0	131
2	C	10	131
3	A	107	138
3	B.1	18	138
3	B.2	0	138
3	C	13	138
4	A	97	135
4	B.1	29	135
4	B.2	0	135
4	C	9	135
5	A	91	137
5	B.1	29	137
5	B.2	0	137
5	C	17	137
6	A	85	139
6	B.1	35	139
6	B.2	0	139
6	C	19	139
7	A	70	150
7	B.1	39	150
7	B.2	3	150
7	C	38	150
8	A	76	149
8	B.1	61	149
8	B.2	2	149
8	C	10	149
9	A	50	148
9	B.1	64	148
9	B.2	3	148
9	C	31	148
10	A	47	141
10	B.1	78	141
10	B.2	5	141
10	C	11	141
11	A	32	129
11	B.1	74	129
11	B.2	5	129
11	C	18	129
12	A	19	117
12	B.1	71	117
12	B.2	7	117
12	C	20	117
13	A	13	104
13	B.1	67	104
13	B.2	13	104
13	C	11	104
14	A	10	87
14	B.1	48	87
14	B.2	7	87
14	C	22	87
15	A	8	80
15	B.1	55	80
15	B.2	15	80
15	C	2	80
16	A	3	72
16	B.1	51	72
16	B.2	13	72
16	C	5	72
17	A	6	76
17	B.1	51	76
17	B.2	19	76
17	C	0	76
18	A	2	72
18	B.1	49	72
18	B.2	21	72
18	C	0	72
19	A	2	64
19	B.1	41	64
19	B.2	20	64
19	C	1	64
20	A	2	66
20	B.1	38	66
20	B.2	24	66
20	C	2	66
21	A	1	75
21	B.1	39	75
21	B.2	35	75
21	C	0	75
22	A	0	84
22	B.1	39	84
22	B.2	44	84
22	C	1	84
23	A	0	95
23	B.1	30	95
23	B.2	48	95
23	C	17	95
24	A	0	92
24	B.1	37	92
24	B.2	47	92
24	C	8	92
25	A	1	107
25	B.1	36	107
25	B.2	69	107
25	C	1	107
26	A	0	116
26	B.1	30	116
26	B.2	86	116
26	C	0	116
27	A	0	135
27	B.1	21	135
27	B.2	110	135
27	C	4	135
28	A	0	140
28	B.1	25	140
28	B.2	113	140
28	C	2	140
29	A	0	132
29	B.1	22	132
29	B.2	110	132
29	C	0	132
30	A	0	138
30	B.1	24	138
30	B.2	114	138
30	C	0	138
