chrom	start	end	S05	S06	S04	S03	S02	S01	S13	S15	S10	S16	S11	S12	S14	S08	S09	S07	S24	S18	S23	S22	S20	S21	S19	S17	S26	S27	S37	S40	S28	S31	S32	S35	S33	S36	S39	S38	S30	S25	S29	S34
NC_000962.3	0	100000	69.4	111.9	101.8	89.2	103.4	72.6	87.9	88.2	53.1	55.2	56.5	64.5	61.0	47.4	96.7	57.5	54.0	86.1	52.3	71.4	79.5	78.4	67.0	69.4	55.9	77.5	115.2	81.6	114.7	72.3	64.4	101.0	62.5	106.4	77.2	64.2	93.7	81.2	69.5	89.7
NC_000962.3	100000	200000	67.3	116.2	100.7	97.4	104.9	71.6	88.0	99.3	56.1	56.9	57.1	66.9	65.0	49.1	100.3	56.4	50.1	81.7	55.1	72.8	78.3	85.0	57.5	71.9	54.8	76.2	103.6	84.1	109.1	70.3	75.7	93.4	63.4	106.3	67.0	60.8	99.6	73.5	76.2	88.7
NC_000962.3	200000	300000	66.4	112.3	85.5	102.3	94.1	85.7	98.0	93.2	50.1	60.3	50.0	62.7	60.2	45.9	86.2	52.5	45.7	77.0	60.8	63.6	75.6	88.8	57.5	61.7	61.3	81.4	117.9	80.9	107.9	67.5	68.7	91.3	57.9	107.9	69.5	64.4	94.6	76.6	77.2	85.0
NC_000962.3	300000	400000	72.6	102.2	98.9	91.9	86.9	78.6	98.3	94.2	50.5	56.5	60.0	61.4	56.9	51.2	94.6	62.7	49.1	75.6	53.6	68.7	83.8	82.2	57.1	63.9	60.1	78.1	119.3	78.6	103.1	61.7	75.3	90.9	54.0	97.5	70.5	67.9	96.9	75.0	77.9	82.9
NC_000962.3	400000	500000	69.2	109.7	100.0	93.6	87.5	81.8	90.3	96.1	55.1	56.5	51.8	55.2	68.5	46.8	94.7	59.6	46.4	87.3	52.7	72.5	87.9	84.7	63.5	68.5	59.5	76.4	99.2	80.4	100.8	62.3	67.1	94.5	56.6	111.0	71.9	65.4	100.3	83.8	68.5	83.5
NC_000962.3	500000	600000	71.0	103.5	99.9	99.7	101.7	72.0	85.9	89.8	52.4	54.2	56.5	57.4	61.4	46.2	89.4	59.6	49.0	81.3	57.2	61.3	85.5	79.3	61.4	71.1	53.9	81.9	98.4	86.4	96.8	66.3	70.0	94.3	54.8	101.9	76.7	63.2	100.9	81.9	82.6	91.0
NC_000962.3	600000	700000	65.1	111.3	99.8	101.9	97.1	77.6	91.1	84.4	57.7	58.3	55.8	55.2	64.1	48.7	94.5	60.4	53.7	75.6	61.3	71.1	80.8	81.0	66.7	60.6	55.1	72.4	106.7	87.3	109.1	67.3	75.9	87.4	54.1	108.2	72.5	64.3	99.0	80.5	82.9	85.5
NC_000962.3	700000	800000	73.7	116.9	96.1	98.1	87.3	81.5	89.8	98.9	55.1	56.4	55.7	64.0	61.2	47.0	89.6	54.7	48.9	72.4	61.5	68.4	79.4	87.4	69.0	62.1	53.2	81.3	104.4	93.9	108.8	69.6	68.8	102.0	61.6	111.8	69.4	61.5	112.9	78.3	81.0	94.1
NC_000962.3	800000	900000	73.8	98.6	90.0	93.3	95.5	81.0	98.6	98.9	55.2	57.8	52.6	57.5	65.2	50.7	86.3	58.9	52.7	73.8	58.4	68.2	88.1	79.8	64.1	65.5	63.1	70.8	106.3	82.7	101.1	71.9	68.1	105.5	54.3	109.1	73.5	70.9	103.7	70.9	72.9	85.2
NC_000962.3	900000	1000000	68.3	115.4	99.6	95.3	98.2	74.4	95.4	95.1	47.9	59.4	51.8	66.0	58.7	49.5	84.4	53.8	46.8	74.0	57.0	64.0	86.5	88.4	59.1	62.0	55.8	80.1	112.9	83.2	98.0	60.3	68.4	97.2	58.6	98.7	72.0	67.1	99.3	81.7	72.5	94.7
NC_000962.3	1000000	1100000	68.0	115.8	91.1	99.2	101.3	85.0	103.6	83.8	55.5	59.1	50.5	57.7	57.7	43.6	96.7	60.4	53.2	86.3	54.0	67.2	86.0	88.3	68.3	65.3	58.8	75.0	116.2	83.6	99.8	71.7	67.7	99.7	60.0	103.7	65.1	67.1	98.5	72.2	71.5	86.7
NC_000962.3	1100000	1200000	67.6	117.9	88.1	85.8	90.0	79.5	88.4	86.1	49.1	56.8	51.5	67.0	56.7	49.5	100.3	59.1	48.0	79.0	57.9	66.8	77.5	89.0	65.3	68.0	55.0	74.3	119.5	80.0	109.9	64.7	67.3	100.2	59.1	112.7	70.3	69.6	104.6	72.1	78.7	86.5
NC_000962.3	1200000	1300000	67.8	104.7	90.8	87.7	103.6	77.0	101.6	87.3	49.0	58.5	59.7	58.8	64.5	48.4	90.2	60.6	47.0	76.8	58.4	63.8	79.5	78.8	56.8	62.7	55.0	74.0	104.8	86.7	109.4	70.3	75.1	92.3	60.4	104.5	65.6	65.8	107.8	75.5	74.4	86.9
NC_000962.3	1300000	1400000	75.9	103.4	93.0	94.1	101.6	83.7	93.9	92.1	55.4	59.8	52.3	61.7	67.8	45.2	95.9	54.5	54.6	76.1	59.4	74.0	89.9	77.4	58.6	63.8	54.1	81.6	104.0	87.5	105.9	62.9	67.8	88.7	64.8	102.7	70.2	69.1	108.1	79.3	71.7	80.7
NC_000962.3	1400000	1500000	71.3	117.6	95.2	87.8	97.3	84.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.2	53.5	52.5	84.6	58.7	65.1	82.9	74.4	57.3	66.9	59.1	73.0	100.2	84.8	96.5	66.8	69.8	87.7	55.1	93.6	76.6	68.7	95.4	81.2	77.2	84.0
NC_000962.3	1500000	1600000	69.1	99.3	98.9	98.3	96.3	84.3	88.2	89.8	55.2	55.6	58.6	62.5	61.8	46.4	87.8	59.2	54.4	78.0	61.5	62.5	86.6	73.3	66.8	64.1	55.9	77.9	109.6	79.2	111.9	65.2	71.0	98.3	56.0	106.5	65.8	59.9	108.0	78.3	76.1	87.1
NC_000962.3	1600000	1700000	77.0	104.3	91.4	102.7	89.0	77.6	91.7	97.3	50.3	61.8	52.7	60.7	58.3	47.4	86.3	62.4	49.1	80.0	58.3	66.6	76.8	80.9	60.7	71.4	56.2	76.4	107.3	92.0	108.8	62.6	70.2	101.9	60.1	102.3	76.9	59.6	104.1	70.9	79.3	93.2
NC_000962.3	1700000	1800000	66.2	110.1	101.0	102.3	101.4	73.6	90.3	88.3	57.2	65.7	54.1	58.6	68.3	47.2	90.5	59.1	47.6	83.4	55.7	66.2	87.0	75.0	62.3	64.1	54.2	79.5	107.7	86.8	102.8	64.1	74.4	99.1	63.9	100.9	66.0	65.3	107.4	76.7	75.4	89.0
NC_000962.3	1800000	1900000	64.9	101.6	94.2	94.8	97.8	73.0	85.3	86.9	48.6	55.7	60.0	62.3	56.6	51.1	87.3	56.2	48.3	86.0	53.3	72.7	77.0	84.6	64.8	59.8	55.6	72.9	118.3	79.5	101.9	62.8	68.4	103.2	62.4	108.8	79.1	65.7	110.9	82.8	76.4	83.3
