Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
1	604401	0.84	0.000000
1	609401	0.63	0.004200
1	614401	0.95	0.007350
1	619401	0.74	0.012100
1	624401	0.67	0.015800
1	629401	0.86	0.019150
1	634401	0.59	0.023450
1	639401	0.68	0.026400
1	644401	0.77	0.029800
1	649401	0.61	0.033650
1	654401	0.88	0.036700
1	659401	0.75	0.041100
1	664401	0.88	0.044850
1	669401	0.64	0.049250
1	674401	0.82	0.052450
1	679401	1.24	0.056550
1	684401	7.01	0.062750
1	689401	30.23	0.097800
1	694401	34.58	0.248950
1	699401	10.26	0.421850
1	704401	1.29	0.473150
1	709401	0.77	0.479600
1	714401	0.51	0.483450
1	719401	0.97	0.486000
1	724401	0.48	0.490850
1	729401	0.89	0.493250
1	734401	0.90	0.497700
1	739401	0.70	0.502200
1	744401	0.43	0.505700
1	749401	0.76	0.507850
1	754401	0.80	0.511650
1	759401	0.41	0.515650
1	764401	0.91	0.517700
1	769401	0.63	0.522250
1	774401	0.48	0.525400
1	779401	0.63	0.527800
1	784401	0.43	0.530950
1	789401	1.59	0.533100
1	794401	15.07	0.541050
1	799401	49.86	0.616400
1	804401	43.35	0.865700
1	809401	9.91	1.082450
1	814401	1.25	1.132000
1	819401	0.60	1.138250
1	824401	0.55	1.141250
1	829401	0.41	1.144000
1	834401	0.89	1.146050
1	839401	0.42	1.150500
1	844401	0.81	1.152600
1	849401	0.64	1.156650
1	854401	0.51	1.159850
1	859401	0.59	1.162400
1	864401	0.43	1.165350
1	869401	0.71	1.167500
1	874401	0.44	1.171050
1	879401	0.43	1.173250
1	884401	0.52	1.175400
1	889401	0.46	1.178000
1	894401	0.51	1.180300
1	899401	0.71	1.182850
