week	mean	lower	upper
3	1.060	0.796	1.377
4	1.191	0.946	1.485
5	1.200	0.968	1.478
6	1.274	1.051	1.540
7	1.344	1.130	1.602
8	1.332	1.123	1.582
9	1.332	1.128	1.576
10	1.321	1.122	1.560
11	1.316	1.121	1.550
12	1.265	1.073	1.496
13	1.130	0.941	1.358
14	1.098	0.911	1.322
15	1.054	0.870	1.276
16	0.952	0.770	1.171
17	0.808	0.627	1.024
18	0.777	0.598	0.992
19	0.777	0.599	0.990
20	0.690	0.514	0.901
21	0.664	0.489	0.873
22	0.673	0.500	0.881
23	0.722	0.550	0.929
24	0.683	0.512	0.888
25	0.738	0.568	0.942
26	0.822	0.653	1.024
27	0.903	0.735	1.105
28	0.989	0.822	1.190
29	1.030	0.864	1.230
30	1.080	0.914	1.279
