sample	lineage	country	year	host
S11	L2	China	2023	human
S28	L4	Kenya	2009	human
S36	L4	Portugal	2012	cattle
S37	L4	Kenya	2011	cattle
S17	L3	Kenya	2019	human
S04	L1	Vietnam	2016	human
S09	L2	China	2018	human
S34	L4	Peru	2011	human
S35	L4	Kenya	2009	human
S07	L2	Peru	2008	human
S01	L1	India	2012	human
S27	L4	Peru	2014	human
S02	L1	Vietnam	2021	human
S10	L2	Vietnam	2015	cattle
S22	L3	Kenya	2010	human
S03	L1	Vietnam	2023	human
S18	L3	India	2009	human
S06	L1	Vietnam	2015	human
S25	L4	Portugal	2020	cattle
S21	L3	India	2022	cattle
S13	L2	China	2022	human
S31	L4	Peru	2014	human
S32	L4	Peru	2021	human
S40	L4	Spain	2015	human
S08	L2	Vietnam	2016	human
S19	L3	India	2013	human
S16	L2	Vietnam	2021	cattle
S05	L1	India	2008	human
S14	L2	China	2013	cattle
S20	L3	India	2019	human
S15	L2	China	2021	human
S24	L3	Kenya	2015	cattle
S12	L2	Vietnam	2010	human
S29	L4	Kenya	2021	human
S38	L4	Peru	2014	cattle
S26	L4	Kenya	2022	human
S30	L4	Spain	2015	human
S39	L4	Peru	2015	human
S33	L4	Spain	2021	cattle
S23	L3	India	2022	human
